"","Country","Indicator","Sex","Time","Value"
"64","Austria","Length of maternity leave","Women",2005,16
"65","Austria","Length of maternity leave","Women",2006,16
"66","Austria","Length of maternity leave","Women",2007,16
"67","Austria","Length of maternity leave","Women",2008,16
"68","Austria","Length of maternity leave","Women",2009,16
"69","Austria","Length of maternity leave","Women",2010,16
"70","Austria","Length of maternity leave","Women",2011,16
"71","Austria","Length of parental leave with job protection","Women",1970,46
"72","Austria","Length of parental leave with job protection","Women",1975,44
"73","Austria","Length of parental leave with job protection","Women",1980,44
"74","Austria","Length of parental leave with job protection","Women",1985,44
"75","Austria","Length of parental leave with job protection","Women",1990,44
"76","Austria","Length of parental leave with job protection","Women",1995,96
"77","Austria","Length of parental leave with job protection","Women",2000,70
"78","Austria","Length of parental leave with job protection","Women",2005,70
"79","Austria","Length of parental leave with job protection","Women",2006,70
"80","Austria","Length of parental leave with job protection","Women",2007,70
"81","Austria","Length of parental leave with job protection","Women",2008,83
"82","Austria","Length of parental leave with job protection","Women",2009,83
"83","Austria","Length of parental leave with job protection","Women",2010,87.3
"84","Austria","Length of parental leave with job protection","Women",2011,87.3
"85","Austria","Total length of paid maternity and parental leave","Women",1970,58
"86","Austria","Total length of paid maternity and parental leave","Women",1975,60
"87","Austria","Total length of paid maternity and parental leave","Women",1980,60
"88","Austria","Total length of paid maternity and parental leave","Women",1985,60
"89","Austria","Total length of paid maternity and parental leave","Women",1990,60
"90","Austria","Total length of paid maternity and parental leave","Women",1995,112
"91","Austria","Total length of paid maternity and parental leave","Women",2000,86
"92","Austria","Total length of paid maternity and parental leave","Women",2005,86
"93","Austria","Total length of paid maternity and parental leave","Women",2006,86
"94","Austria","Total length of paid maternity and parental leave","Women",2007,86
"95","Austria","Total length of paid maternity and parental leave","Women",2008,73
"96","Austria","Total length of paid maternity and parental leave","Women",2009,73
"97","Austria","Total length of paid maternity and parental leave","Women",2010,60
"98","Austria","Total length of paid maternity and parental leave","Women",2011,60
"99","Austria","Length of paid father-specific leave","Men",1970,0
"100","Austria","Length of paid father-specific leave","Men",1975,0
"101","Austria","Length of paid father-specific leave","Men",1980,0
"102","Austria","Length of paid father-specific leave","Men",1985,0
"103","Austria","Length of paid father-specific leave","Men",1990,0
"104","Austria","Length of paid father-specific leave","Men",1995,0
"105","Austria","Length of paid father-specific leave","Men",2000,26
"106","Austria","Length of paid father-specific leave","Men",2005,26
"107","Austria","Length of paid father-specific leave","Men",2006,26
"108","Austria","Length of paid father-specific leave","Men",2007,26
"109","Austria","Length of paid father-specific leave","Men",2008,13
"110","Austria","Length of paid father-specific leave","Men",2009,13
"111","Austria","Length of paid father-specific leave","Men",2010,8.7
"112","Austria","Length of paid father-specific leave","Men",2011,8.7
"113","Belgium","Length of maternity leave","Women",1970,14
"114","Belgium","Length of maternity leave","Women",1975,14
"115","Belgium","Length of maternity leave","Women",1980,14
"116","Belgium","Length of maternity leave","Women",1985,14
"117","Belgium","Length of maternity leave","Women",1990,14
"118","Belgium","Length of maternity leave","Women",1995,15
"119","Belgium","Length of maternity leave","Women",2000,15
"120","Belgium","Length of maternity leave","Women",2005,15
"121","Belgium","Length of maternity leave","Women",2006,15
"122","Belgium","Length of maternity leave","Women",2007,15
"123","Belgium","Length of maternity leave","Women",2008,15
"124","Belgium","Length of maternity leave","Women",2009,15
"125","Belgium","Length of maternity leave","Women",2010,15
"126","Belgium","Length of maternity leave","Women",2011,15
"127","Belgium","Length of parental leave with job protection","Women",1970,0
"128","Belgium","Length of parental leave with job protection","Women",1975,0
"129","Belgium","Length of parental leave with job protection","Women",1980,0
"130","Belgium","Length of parental leave with job protection","Women",1985,0
"131","Belgium","Length of parental leave with job protection","Women",1990,0
"132","Belgium","Length of parental leave with job protection","Women",1995,0
"133","Belgium","Length of parental leave with job protection","Women",2000,13
"134","Belgium","Length of parental leave with job protection","Women",2005,13
"135","Belgium","Length of parental leave with job protection","Women",2006,13
"136","Belgium","Length of parental leave with job protection","Women",2007,13
"137","Belgium","Length of parental leave with job protection","Women",2008,13
"138","Belgium","Length of parental leave with job protection","Women",2009,13
"139","Belgium","Length of parental leave with job protection","Women",2010,13
"140","Belgium","Length of parental leave with job protection","Women",2011,13
"141","Belgium","Total length of paid maternity and parental leave","Women",1970,14
"142","Belgium","Total length of paid maternity and parental leave","Women",1975,14
"143","Belgium","Total length of paid maternity and parental leave","Women",1980,14
"144","Belgium","Total length of paid maternity and parental leave","Women",1985,14
"145","Belgium","Total length of paid maternity and parental leave","Women",1990,14
"146","Belgium","Total length of paid maternity and parental leave","Women",1995,15
"147","Belgium","Total length of paid maternity and parental leave","Women",2000,28
"148","Belgium","Total length of paid maternity and parental leave","Women",2005,28
"149","Belgium","Total length of paid maternity and parental leave","Women",2006,28
"150","Belgium","Total length of paid maternity and parental leave","Women",2007,28
"151","Belgium","Total length of paid maternity and parental leave","Women",2008,28
"152","Belgium","Total length of paid maternity and parental leave","Women",2009,28
"153","Belgium","Total length of paid maternity and parental leave","Women",2010,28
"154","Belgium","Total length of paid maternity and parental leave","Women",2011,28
"155","Belgium","Length of paid father-specific leave","Men",1970,0.6
"156","Belgium","Length of paid father-specific leave","Men",1975,0.6
"157","Belgium","Length of paid father-specific leave","Men",1980,0.6
"158","Belgium","Length of paid father-specific leave","Men",1985,0.6
"159","Belgium","Length of paid father-specific leave","Men",1990,0.6
"160","Belgium","Length of paid father-specific leave","Men",1995,0.6
"161","Belgium","Length of paid father-specific leave","Men",2000,13.6
"162","Belgium","Length of paid father-specific leave","Men",2005,15
"163","Belgium","Length of paid father-specific leave","Men",2006,15
"164","Belgium","Length of paid father-specific leave","Men",2007,15
"165","Belgium","Length of paid father-specific leave","Men",2008,15
"166","Belgium","Length of paid father-specific leave","Men",2009,15
"167","Belgium","Length of paid father-specific leave","Men",2010,15
"168","Belgium","Length of paid father-specific leave","Men",2011,15
"169","Canada","Length of maternity leave","Women",1970,0
"170","Canada","Length of maternity leave","Women",1975,15
"171","Canada","Length of maternity leave","Women",1980,17
"172","Canada","Length of maternity leave","Women",1985,17
"173","Canada","Length of maternity leave","Women",1990,17
"174","Canada","Length of maternity leave","Women",1995,17
"175","Canada","Length of maternity leave","Women",2000,17
"176","Canada","Length of maternity leave","Women",2005,17
"177","Canada","Length of maternity leave","Women",2006,17
"178","Canada","Length of maternity leave","Women",2007,17
"179","Canada","Length of maternity leave","Women",2008,17
"180","Canada","Length of maternity leave","Women",2009,17
"181","Canada","Length of maternity leave","Women",2010,17
"182","Canada","Length of maternity leave","Women",2011,17
"183","Canada","Length of parental leave with job protection","Women",1970,0
"184","Canada","Length of parental leave with job protection","Women",1975,0
"185","Canada","Length of parental leave with job protection","Women",1980,0
"186","Canada","Length of parental leave with job protection","Women",1985,0
"187","Canada","Length of parental leave with job protection","Women",1990,0
"188","Canada","Length of parental leave with job protection","Women",1995,10
"189","Canada","Length of parental leave with job protection","Women",2000,10
"190","Canada","Length of parental leave with job protection","Women",2005,35
"191","Canada","Length of parental leave with job protection","Women",2006,35
"192","Canada","Length of parental leave with job protection","Women",2007,35
"193","Canada","Length of parental leave with job protection","Women",2008,35
"194","Canada","Length of parental leave with job protection","Women",2009,35
"195","Canada","Length of parental leave with job protection","Women",2010,35
"196","Canada","Length of parental leave with job protection","Women",2011,35
"197","Canada","Total length of paid maternity and parental leave","Women",1970,0
"198","Canada","Total length of paid maternity and parental leave","Women",1975,15
"199","Canada","Total length of paid maternity and parental leave","Women",1980,17
"200","Canada","Total length of paid maternity and parental leave","Women",1985,17
"201","Canada","Total length of paid maternity and parental leave","Women",1990,17
"202","Canada","Total length of paid maternity and parental leave","Women",1995,27
"203","Canada","Total length of paid maternity and parental leave","Women",2000,27
"204","Canada","Total length of paid maternity and parental leave","Women",2005,52
"205","Canada","Total length of paid maternity and parental leave","Women",2006,52
"206","Canada","Total length of paid maternity and parental leave","Women",2007,52
"207","Canada","Total length of paid maternity and parental leave","Women",2008,52
"208","Canada","Total length of paid maternity and parental leave","Women",2009,52
"209","Canada","Total length of paid maternity and parental leave","Women",2010,52
"210","Canada","Total length of paid maternity and parental leave","Women",2011,52
"211","Canada","Length of paid father-specific leave","Men",1970,0
"212","Canada","Length of paid father-specific leave","Men",1975,0
"213","Canada","Length of paid father-specific leave","Men",1980,0
"214","Canada","Length of paid father-specific leave","Men",1985,0
"215","Canada","Length of paid father-specific leave","Men",1990,0
"216","Canada","Length of paid father-specific leave","Men",1995,0
"217","Canada","Length of paid father-specific leave","Men",2000,0
"218","Canada","Length of paid father-specific leave","Men",2005,0
"219","Canada","Length of paid father-specific leave","Men",2006,0
"220","Canada","Length of paid father-specific leave","Men",2007,0
"221","Canada","Length of paid father-specific leave","Men",2008,0
"222","Canada","Length of paid father-specific leave","Men",2009,0
"223","Canada","Length of paid father-specific leave","Men",2010,0
"224","Canada","Length of paid father-specific leave","Men",2011,0
"225","Czech Republic","Length of maternity leave","Women",1970,26
"226","Czech Republic","Length of maternity leave","Women",1975,26
"227","Czech Republic","Length of maternity leave","Women",1980,26
"228","Czech Republic","Length of maternity leave","Women",1985,26
"229","Czech Republic","Length of maternity leave","Women",1990,28
"230","Czech Republic","Length of maternity leave","Women",1995,28
"231","Czech Republic","Length of maternity leave","Women",2000,28
"232","Czech Republic","Length of maternity leave","Women",2005,28
"233","Czech Republic","Length of maternity leave","Women",2006,28
"234","Czech Republic","Length of maternity leave","Women",2007,28
"235","Czech Republic","Length of maternity leave","Women",2008,28
"236","Czech Republic","Length of maternity leave","Women",2009,28
"237","Czech Republic","Length of maternity leave","Women",2010,28
"238","Czech Republic","Length of maternity leave","Women",2011,28
"239","Czech Republic","Length of parental leave with job protection","Women",1970,86
"240","Czech Republic","Length of parental leave with job protection","Women",1975,86
"241","Czech Republic","Length of parental leave with job protection","Women",1980,86
"242","Czech Republic","Length of parental leave with job protection","Women",1985,86
"243","Czech Republic","Length of parental leave with job protection","Women",1990,134
"244","Czech Republic","Length of parental leave with job protection","Women",1995,134
"245","Czech Republic","Length of parental leave with job protection","Women",2000,134
"246","Czech Republic","Length of parental leave with job protection","Women",2005,134
"247","Czech Republic","Length of parental leave with job protection","Women",2006,134
"248","Czech Republic","Length of parental leave with job protection","Women",2007,134
"249","Czech Republic","Length of parental leave with job protection","Women",2008,134
"250","Czech Republic","Length of parental leave with job protection","Women",2009,134
"251","Czech Republic","Length of parental leave with job protection","Women",2010,134
"252","Czech Republic","Length of parental leave with job protection","Women",2011,134
"253","Czech Republic","Total length of paid maternity and parental leave","Women",1970,26
"254","Czech Republic","Total length of paid maternity and parental leave","Women",1975,26
"255","Czech Republic","Total length of paid maternity and parental leave","Women",1980,26
"256","Czech Republic","Total length of paid maternity and parental leave","Women",1985,78
"257","Czech Republic","Total length of paid maternity and parental leave","Women",1990,162
"258","Czech Republic","Total length of paid maternity and parental leave","Women",1995,162
"259","Czech Republic","Total length of paid maternity and parental leave","Women",2000,162
"260","Czech Republic","Total length of paid maternity and parental leave","Women",2005,162
"261","Czech Republic","Total length of paid maternity and parental leave","Women",2006,162
"262","Czech Republic","Total length of paid maternity and parental leave","Women",2007,162
"263","Czech Republic","Total length of paid maternity and parental leave","Women",2008,110
"264","Czech Republic","Total length of paid maternity and parental leave","Women",2009,110
"265","Czech Republic","Total length of paid maternity and parental leave","Women",2010,110
"266","Czech Republic","Total length of paid maternity and parental leave","Women",2011,110
"267","Czech Republic","Length of paid father-specific leave","Men",1970,0
"268","Czech Republic","Length of paid father-specific leave","Men",1975,0
"269","Czech Republic","Length of paid father-specific leave","Men",1980,0
"270","Czech Republic","Length of paid father-specific leave","Men",1985,0
"271","Czech Republic","Length of paid father-specific leave","Men",1990,0
"272","Czech Republic","Length of paid father-specific leave","Men",1995,0
"273","Czech Republic","Length of paid father-specific leave","Men",2000,0
"274","Czech Republic","Length of paid father-specific leave","Men",2005,0
"275","Czech Republic","Length of paid father-specific leave","Men",2006,0
"276","Czech Republic","Length of paid father-specific leave","Men",2007,0
"277","Czech Republic","Length of paid father-specific leave","Men",2008,0
"278","Czech Republic","Length of paid father-specific leave","Men",2009,0
"279","Czech Republic","Length of paid father-specific leave","Men",2010,0
"280","Czech Republic","Length of paid father-specific leave","Men",2011,0
"281","Denmark","Length of maternity leave","Women",1970,14
"282","Denmark","Length of maternity leave","Women",1975,14
"283","Denmark","Length of maternity leave","Women",1980,18
"284","Denmark","Length of maternity leave","Women",1985,18
"285","Denmark","Length of maternity leave","Women",1990,18
"286","Denmark","Length of maternity leave","Women",1995,18
"287","Denmark","Length of maternity leave","Women",2000,18
"288","Denmark","Length of maternity leave","Women",2005,18
"289","Denmark","Length of maternity leave","Women",2006,18
"290","Denmark","Length of maternity leave","Women",2007,18
"291","Denmark","Length of maternity leave","Women",2008,18
"292","Denmark","Length of maternity leave","Women",2009,18
"293","Denmark","Length of maternity leave","Women",2010,18
"294","Denmark","Length of maternity leave","Women",2011,18
"295","Denmark","Length of parental leave with job protection","Women",1970,0
"296","Denmark","Length of parental leave with job protection","Women",1975,0
"297","Denmark","Length of parental leave with job protection","Women",1980,0
"298","Denmark","Length of parental leave with job protection","Women",1985,0
"299","Denmark","Length of parental leave with job protection","Women",1990,10
"300","Denmark","Length of parental leave with job protection","Women",1995,36
"301","Denmark","Length of parental leave with job protection","Women",2000,36
"302","Denmark","Length of parental leave with job protection","Women",2005,32
"303","Denmark","Length of parental leave with job protection","Women",2006,32
"304","Denmark","Length of parental leave with job protection","Women",2007,32
"305","Denmark","Length of parental leave with job protection","Women",2008,32
"306","Denmark","Length of parental leave with job protection","Women",2009,32
"307","Denmark","Length of parental leave with job protection","Women",2010,32
"308","Denmark","Length of parental leave with job protection","Women",2011,32
"309","Denmark","Total length of paid maternity and parental leave","Women",1970,14
"310","Denmark","Total length of paid maternity and parental leave","Women",1975,14
"311","Denmark","Total length of paid maternity and parental leave","Women",1980,18
"312","Denmark","Total length of paid maternity and parental leave","Women",1985,18
"313","Denmark","Total length of paid maternity and parental leave","Women",1990,28
"314","Denmark","Total length of paid maternity and parental leave","Women",1995,54
"315","Denmark","Total length of paid maternity and parental leave","Women",2000,54
"316","Denmark","Total length of paid maternity and parental leave","Women",2005,50
"317","Denmark","Total length of paid maternity and parental leave","Women",2006,50
"318","Denmark","Total length of paid maternity and parental leave","Women",2007,50
"319","Denmark","Total length of paid maternity and parental leave","Women",2008,50
"320","Denmark","Total length of paid maternity and parental leave","Women",2009,50
"321","Denmark","Total length of paid maternity and parental leave","Women",2010,50
"322","Denmark","Total length of paid maternity and parental leave","Women",2011,50
"323","Denmark","Length of paid father-specific leave","Men",1970,0
"324","Denmark","Length of paid father-specific leave","Men",1975,0
"325","Denmark","Length of paid father-specific leave","Men",1980,0
"326","Denmark","Length of paid father-specific leave","Men",1985,2
"327","Denmark","Length of paid father-specific leave","Men",1990,2
"328","Denmark","Length of paid father-specific leave","Men",1995,15
"329","Denmark","Length of paid father-specific leave","Men",2000,17
"330","Denmark","Length of paid father-specific leave","Men",2005,2
"331","Denmark","Length of paid father-specific leave","Men",2006,2
"332","Denmark","Length of paid father-specific leave","Men",2007,2
"333","Denmark","Length of paid father-specific leave","Men",2008,2
"334","Denmark","Length of paid father-specific leave","Men",2009,2
"335","Denmark","Length of paid father-specific leave","Men",2010,2
"336","Denmark","Length of paid father-specific leave","Men",2011,2
"337","Finland","Length of maternity leave","Women",1970,9
"338","Finland","Length of maternity leave","Women",1975,29
"339","Finland","Length of maternity leave","Women",1980,33
"340","Finland","Length of maternity leave","Women",1985,16.7
"341","Finland","Length of maternity leave","Women",1990,17.5
"342","Finland","Length of maternity leave","Women",1995,17.5
"343","Finland","Length of maternity leave","Women",2000,17.5
"344","Finland","Length of maternity leave","Women",2005,17.5
"345","Finland","Length of maternity leave","Women",2006,17.5
"346","Finland","Length of maternity leave","Women",2007,17.5
"347","Finland","Length of maternity leave","Women",2008,17.5
"348","Finland","Length of maternity leave","Women",2009,17.5
"349","Finland","Length of maternity leave","Women",2010,17.5
"350","Finland","Length of maternity leave","Women",2011,17.5
"351","Finland","Length of parental leave with job protection","Women",1970,0
"352","Finland","Length of parental leave with job protection","Women",1975,0
"353","Finland","Length of parental leave with job protection","Women",1980,4
"354","Finland","Length of parental leave with job protection","Women",1985,142.4
"355","Finland","Length of parental leave with job protection","Women",1990,141.5
"356","Finland","Length of parental leave with job protection","Women",1995,143.5
"357","Finland","Length of parental leave with job protection","Women",2000,143.5
"358","Finland","Length of parental leave with job protection","Women",2005,141.5
"359","Finland","Length of parental leave with job protection","Women",2006,141.5
"360","Finland","Length of parental leave with job protection","Women",2007,141.5
"361","Finland","Length of parental leave with job protection","Women",2008,141.5
"362","Finland","Length of parental leave with job protection","Women",2009,141.5
"363","Finland","Length of parental leave with job protection","Women",2010,141.5
"364","Finland","Length of parental leave with job protection","Women",2011,141.5
"365","Finland","Total length of paid maternity and parental leave","Women",1970,9
"366","Finland","Total length of paid maternity and parental leave","Women",1975,29
"367","Finland","Total length of paid maternity and parental leave","Women",1980,37
"368","Finland","Total length of paid maternity and parental leave","Women",1985,159
"369","Finland","Total length of paid maternity and parental leave","Women",1990,159
"370","Finland","Total length of paid maternity and parental leave","Women",1995,161
"371","Finland","Total length of paid maternity and parental leave","Women",2000,161
"372","Finland","Total length of paid maternity and parental leave","Women",2005,159
"373","Finland","Total length of paid maternity and parental leave","Women",2006,159
"374","Finland","Total length of paid maternity and parental leave","Women",2007,159
"375","Finland","Total length of paid maternity and parental leave","Women",2008,159
"376","Finland","Total length of paid maternity and parental leave","Women",2009,159
"377","Finland","Total length of paid maternity and parental leave","Women",2010,159
"378","Finland","Total length of paid maternity and parental leave","Women",2011,159
"379","Finland","Length of paid father-specific leave","Men",1970,0
"380","Finland","Length of paid father-specific leave","Men",1975,0
"381","Finland","Length of paid father-specific leave","Men",1980,0
"382","Finland","Length of paid father-specific leave","Men",1985,0
"383","Finland","Length of paid father-specific leave","Men",1990,0
"384","Finland","Length of paid father-specific leave","Men",1995,3
"385","Finland","Length of paid father-specific leave","Men",2000,3
"386","Finland","Length of paid father-specific leave","Men",2005,7
"387","Finland","Length of paid father-specific leave","Men",2006,7
"388","Finland","Length of paid father-specific leave","Men",2007,7
"389","Finland","Length of paid father-specific leave","Men",2008,7
"390","Finland","Length of paid father-specific leave","Men",2009,7
"391","Finland","Length of paid father-specific leave","Men",2010,7
"392","Finland","Length of paid father-specific leave","Men",2011,9
"393","France","Length of maternity leave","Women",1970,14
"394","France","Length of maternity leave","Women",1975,14
"395","France","Length of maternity leave","Women",1980,16
"396","France","Length of maternity leave","Women",1985,16
"397","France","Length of maternity leave","Women",1990,16
"398","France","Length of maternity leave","Women",1995,16
"399","France","Length of maternity leave","Women",2000,16
"400","France","Length of maternity leave","Women",2005,16
"401","France","Length of maternity leave","Women",2006,16
"402","France","Length of maternity leave","Women",2007,16
"403","France","Length of maternity leave","Women",2008,16
"404","France","Length of maternity leave","Women",2009,16
"405","France","Length of maternity leave","Women",2010,16
"406","France","Length of maternity leave","Women",2011,16
"407","France","Length of parental leave with job protection","Women",1970,0
"408","France","Length of parental leave with job protection","Women",1975,0
"409","France","Length of parental leave with job protection","Women",1980,96
"410","France","Length of parental leave with job protection","Women",1985,96
"411","France","Length of parental leave with job protection","Women",1990,146
"412","France","Length of parental leave with job protection","Women",1995,146
"413","France","Length of parental leave with job protection","Women",2000,146
"414","France","Length of parental leave with job protection","Women",2005,146
"415","France","Length of parental leave with job protection","Women",2006,146
"416","France","Length of parental leave with job protection","Women",2007,146
"417","France","Length of parental leave with job protection","Women",2008,146
"418","France","Length of parental leave with job protection","Women",2009,146
"419","France","Length of parental leave with job protection","Women",2010,146
"420","France","Length of parental leave with job protection","Women",2011,146
"421","France","Total length of paid maternity and parental leave","Women",1970,14
"422","France","Total length of paid maternity and parental leave","Women",1975,14
"423","France","Total length of paid maternity and parental leave","Women",1980,16
"424","France","Total length of paid maternity and parental leave","Women",1985,16
"425","France","Total length of paid maternity and parental leave","Women",1990,16
"426","France","Total length of paid maternity and parental leave","Women",1995,16
"427","France","Total length of paid maternity and parental leave","Women",2000,16
"428","France","Total length of paid maternity and parental leave","Women",2005,42
"429","France","Total length of paid maternity and parental leave","Women",2006,42
"430","France","Total length of paid maternity and parental leave","Women",2007,42
"431","France","Total length of paid maternity and parental leave","Women",2008,42
"432","France","Total length of paid maternity and parental leave","Women",2009,42
"433","France","Total length of paid maternity and parental leave","Women",2010,42
"434","France","Total length of paid maternity and parental leave","Women",2011,42
"435","France","Length of paid father-specific leave","Men",1970,0
"436","France","Length of paid father-specific leave","Men",1975,0
"437","France","Length of paid father-specific leave","Men",1980,0
"438","France","Length of paid father-specific leave","Men",1985,0
"439","France","Length of paid father-specific leave","Men",1990,0
"440","France","Length of paid father-specific leave","Men",1995,0
"441","France","Length of paid father-specific leave","Men",2000,0
"442","France","Length of paid father-specific leave","Men",2005,2
"443","France","Length of paid father-specific leave","Men",2006,2
"444","France","Length of paid father-specific leave","Men",2007,2
"445","France","Length of paid father-specific leave","Men",2008,2
"446","France","Length of paid father-specific leave","Men",2009,2
"447","France","Length of paid father-specific leave","Men",2010,2
"448","France","Length of paid father-specific leave","Men",2011,2
"449","Germany","Length of maternity leave","Women",1970,14
"450","Germany","Length of maternity leave","Women",1975,14
"451","Germany","Length of maternity leave","Women",1980,31.3
"452","Germany","Length of maternity leave","Women",1985,31.3
"453","Germany","Length of maternity leave","Women",1990,14
"454","Germany","Length of maternity leave","Women",1995,14
"455","Germany","Length of maternity leave","Women",2000,14
"456","Germany","Length of maternity leave","Women",2005,14
"457","Germany","Length of maternity leave","Women",2006,14
"458","Germany","Length of maternity leave","Women",2007,14
"459","Germany","Length of maternity leave","Women",2008,14
"460","Germany","Length of maternity leave","Women",2009,14
"461","Germany","Length of maternity leave","Women",2010,14
"462","Germany","Length of maternity leave","Women",2011,14
"463","Germany","Length of parental leave with job protection","Women",1970,0
"464","Germany","Length of parental leave with job protection","Women",1975,0
"465","Germany","Length of parental leave with job protection","Women",1980,0
"466","Germany","Length of parental leave with job protection","Women",1985,0
"467","Germany","Length of parental leave with job protection","Women",1990,56.3
"468","Germany","Length of parental leave with job protection","Women",1995,148
"469","Germany","Length of parental leave with job protection","Women",2000,148
"470","Germany","Length of parental leave with job protection","Women",2005,148
"471","Germany","Length of parental leave with job protection","Women",2006,148
"472","Germany","Length of parental leave with job protection","Women",2007,148
"473","Germany","Length of parental leave with job protection","Women",2008,148
"474","Germany","Length of parental leave with job protection","Women",2009,148
"475","Germany","Length of parental leave with job protection","Women",2010,148
"476","Germany","Length of parental leave with job protection","Women",2011,148
"477","Germany","Total length of paid maternity and parental leave","Women",1970,14
"478","Germany","Total length of paid maternity and parental leave","Women",1975,14
"479","Germany","Total length of paid maternity and parental leave","Women",1980,31.3
"480","Germany","Total length of paid maternity and parental leave","Women",1985,31.3
"481","Germany","Total length of paid maternity and parental leave","Women",1990,70
"482","Germany","Total length of paid maternity and parental leave","Women",1995,109.3
"483","Germany","Total length of paid maternity and parental leave","Women",2000,109.3
"484","Germany","Total length of paid maternity and parental leave","Women",2005,58
"485","Germany","Total length of paid maternity and parental leave","Women",2006,58
"486","Germany","Total length of paid maternity and parental leave","Women",2007,58
"487","Germany","Total length of paid maternity and parental leave","Women",2008,58
"488","Germany","Total length of paid maternity and parental leave","Women",2009,58
"489","Germany","Total length of paid maternity and parental leave","Women",2010,58
"490","Germany","Total length of paid maternity and parental leave","Women",2011,58
"491","Germany","Length of paid father-specific leave","Men",1970,0
"492","Germany","Length of paid father-specific leave","Men",1975,0
"493","Germany","Length of paid father-specific leave","Men",1980,0
"494","Germany","Length of paid father-specific leave","Men",1985,0
"495","Germany","Length of paid father-specific leave","Men",1990,0
"496","Germany","Length of paid father-specific leave","Men",1995,0
"497","Germany","Length of paid father-specific leave","Men",2000,0
"498","Germany","Length of paid father-specific leave","Men",2005,0
"499","Germany","Length of paid father-specific leave","Men",2006,0
"500","Germany","Length of paid father-specific leave","Men",2007,8.7
"501","Germany","Length of paid father-specific leave","Men",2008,8.7
"502","Germany","Length of paid father-specific leave","Men",2009,8.7
"503","Germany","Length of paid father-specific leave","Men",2010,8.7
"504","Germany","Length of paid father-specific leave","Men",2011,8.7
"505","Greece","Length of maternity leave","Women",1970,12
"506","Greece","Length of maternity leave","Women",1975,12
"507","Greece","Length of maternity leave","Women",1980,12
